,,Mg/Ca,Mg/Ca,Mg/Ca,d18O,d18O,d18O,depthrange,depthrange,ddate,sal,sal,sal,d18Ow,d18Ow,d18Ow,Ctemp_min,Ctemp_min,Ctemp_min,Ctemp_max,Ctemp_max,Ctemp_max,Ctemp_mid,Ctemp_mid,Ctemp_mid
size_fraction,,250-350,350-500,500-1000,250-350,350-500,500-1000,min,max,,min,max,mid,min,max,mid,250-350,350-500,500-1000,250-350,350-500,500-1000,250-350,350-500,500-1000
,Date,,,,,,,,,,,,,,,,,,,,,,,,
G. crassiformis,1981-08-01,,1.65,,,1.01,,500.0,800.0,4230,36.23+/-0.09,35.41+/-0.09,35.83+/-0.09,0.95+/-0.05,0.50+/-0.05,0.73+/-0.05,nan+/-nan,15.46+/-0.22,nan+/-nan,nan+/-nan,13.53+/-0.21,nan+/-nan,nan+/-nan,14.51+/-0.21,nan+/-nan
G. crassiformis,1982-07-01,,1.55,,,0.99,,500.0,800.0,4564,36.22+/-0.09,35.40+/-0.09,35.82+/-0.09,0.95+/-0.05,0.49+/-0.05,0.72+/-0.05,nan+/-nan,15.53+/-0.22,nan+/-nan,nan+/-nan,13.60+/-0.21,nan+/-nan,nan+/-nan,14.58+/-0.22,nan+/-nan
G. hirsuta,1978-05-01,,1.55,,,1.11,,500.0,800.0,3042,36.25+/-0.09,35.44+/-0.09,35.85+/-0.09,0.96+/-0.05,0.51+/-0.05,0.74+/-0.05,nan+/-nan,15.09+/-0.22,nan+/-nan,nan+/-nan,13.16+/-0.21,nan+/-nan,nan+/-nan,14.14+/-0.21,nan+/-nan
G. hirsuta,1979-04-01,,1.62,,,1.14,,500.0,800.0,3377,36.25+/-0.09,35.43+/-0.09,35.85+/-0.09,0.96+/-0.05,0.51+/-0.05,0.74+/-0.05,nan+/-nan,14.95+/-0.22,nan+/-nan,nan+/-nan,13.03+/-0.21,nan+/-nan,nan+/-nan,14.00+/-0.21,nan+/-nan
G. hirsuta,1979-06-01,,1.51,,,0.88,,500.0,800.0,3438,36.24+/-0.09,35.43+/-0.09,35.85+/-0.09,0.96+/-0.05,0.51+/-0.05,0.74+/-0.05,nan+/-nan,16.07+/-0.22,nan+/-nan,nan+/-nan,14.13+/-0.21,nan+/-nan,nan+/-nan,15.11+/-0.22,nan+/-nan
G. hirsuta,1980-03-01,,1.57,,,1.07,,500.0,800.0,3712,36.24+/-0.09,35.43+/-0.09,35.84+/-0.09,0.96+/-0.05,0.50+/-0.05,0.74+/-0.05,nan+/-nan,15.24+/-0.22,nan+/-nan,nan+/-nan,13.31+/-0.21,nan+/-nan,nan+/-nan,14.29+/-0.21,nan+/-nan
G. hirsuta,1980-05-01,,1.82,,,1.22,,500.0,800.0,3773,36.24+/-0.09,35.43+/-0.09,35.84+/-0.09,0.96+/-0.05,0.50+/-0.05,0.73+/-0.05,nan+/-nan,14.59+/-0.22,nan+/-nan,nan+/-nan,12.68+/-0.21,nan+/-nan,nan+/-nan,13.65+/-0.21,nan+/-nan
G. hirsuta,1980-07-01,,2.12,,,0.99,,500.0,800.0,3834,36.24+/-0.09,35.42+/-0.09,35.84+/-0.09,0.96+/-0.05,0.50+/-0.05,0.73+/-0.05,nan+/-nan,15.58+/-0.22,nan+/-nan,nan+/-nan,13.64+/-0.21,nan+/-nan,nan+/-nan,14.62+/-0.22,nan+/-nan
G. hirsuta,1980-09-01,,1.64,,,,,500.0,800.0,3896,36.23+/-0.09,35.42+/-0.09,35.84+/-0.09,0.95+/-0.05,0.50+/-0.05,0.73+/-0.05,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan
G. hirsuta,1981-03-01,,1.55,,,0.97,,500.0,800.0,4077,36.23+/-0.09,35.42+/-0.09,35.83+/-0.09,0.95+/-0.05,0.50+/-0.05,0.73+/-0.05,nan+/-nan,15.65+/-0.22,nan+/-nan,nan+/-nan,13.71+/-0.21,nan+/-nan,nan+/-nan,14.69+/-0.22,nan+/-nan
